Sentence,Negative Connotations
Kleiner Nachhilfetipp für Trump: Die Japaner verkaufen 10 x mehr Autos in Amerika. als die Deutschen. Was stimmt da in seiner Birne nicht?,"stimmt, Birne"
"War das heute herrlich in Szczeciner Einkaufszentren > keine Nafris lungerten rum, stressfreies Einkaufen, dicke Baiser-Torte, super Kaffee😜","Nafris, lungerten"
"Widerlich. Sie zeigen die nackten Brüste einer Frau. Ich habe Sie aufzufordern, das Bild sofort herauszunehmen. Ihr scheinheiligen Schmutzl.","Widerlich, scheinheiligen, Schmutzl"
Rettet die deutsche Frau vor dem Multikuliti Wahn #rapefugees,"Multikuliti Wahn, #rapefugees"
"Hetze der öffentlich-rechtlichen gegen Trump, zum kotzen diese verlogenen Vasallen Merkels!!!","Hetze, kotzen, verlogenen, Vasallen"
"Schießt doch die Raketen von Kim ab und prostituiert nicht. ständig, Ihr Maulaufreißer. Handelt endlich mal.","prostituiert, Maulaufreißer"
Das macht echt traurig...ich schäme mich dermaßen für meine dummdämliche Landsleute ..!,"traurig, schäme, dummdämliche"
Es gibt bei uns keine Pressefreiheit mehr. Wir sind eine Bananenrepublik wie Simbabwe!,"keine Pressefreiheit, Bananenrepublik"
Gut gemacht Mr. Präsident! Die dumme Nudel mal wieder richtig vorgeführt!😂😂👍,"dumme, Nudel"
SPD ist für DE nicht wählbar dieses üble Pack fordert d Familiennachzug für alle Muslimische Invasoren Forderung von Malu Dreyer Schulz. AFD,"üble, Pack, Muslimische Invasoren"
"Liebe Freunde, lasst euch nicht hinreißen. Lacht die Sklaven aus.",Sklaven
"Salvatore, siehst Du nicht, wer da aus Afrika kommt? Wenn Du diese. rücksichtslosen Invasoren willst, dann füttere sie selbst, und sitz.","rücksichtslosen, Invasoren"
Die Kanackenweiber sind die schlimmsten....,Kanackenweiber
Edeka soll mal früher aufmachen die Hurensöhne,Hurensöhne
"Bestätigte Sexualdelikte von #rapefugees sind viel zu brisant siehe Vergewaltigungsrate Schweden,deswegen lieber #hoax für Honks! #abmerkeln","Sexualdelikte, #rapefugees, brisant, Vergewaltigungsrate, #hoax, Honks, #abmerkeln"
Die Grünen Idioten sind untragbar für unser ganzes Land!,"Idioten, untragbar"
Nicht nur ein Vasall Merkels sondern auch ein Trump hasser!! Also ein Nazi!!!,"Vasall, Trump hasser, Nazi"
Der Tweet von S.Tuerker zeigt das jeden Tag ein Dummbrot geboren wird.,Dummbrot
"Juhu, das morgige Wetter passt zum Tag > SCHEIßWETTER 😂😂😂",SCHEIßWETTER
Welches nette Bild von Linksradikalen hat @USER_0 denn da rausgesucht? Seid Ihr asozial!,asozial
"Unwort des Jahrhunderts: STAMMWÄHLER. Jeder der seine Stimme einer Partei gibt, weil er es schon immer so tat ist ein Riesenarschloch !!!",Riesenarschloch
Ja dieses fette Etwas....redet und redet,"fette, Etwas"
ein Merkel Vasall!!. Auch einer der keine eigene Meinung hat!! Dumm -Deutscher halt!!!!,"Vasall, keine eigene Meinung, Dumm"
"seit ihr so naiv, oder tut ihr nur so dumm?????? 🎩🌹","naiv, dumm"
Die Kölner sind Pfeifen...und nicht nur im Fußball....Köln ist am Ende. Köln ist durch und durch kanakisch..!,"Pfeifen, am Ende, kanakisch"
"Ich, ein Selfi mit Murksel???!!! Eher würde ich mich zu `ner Klapperschlange ins Terrarium legen.","Murksel, Klapperschlange"
"Hey Leute, wir haben so lange die Warzentusse ertragen...das mit dem Kleinwüchsigem kriegen wir auch hin...","Warzentusse, Kleinwüchsigem"
ist in meinen Augen strunzdumm wie ein Knäckebrot. Gott sei Dank hat er es bald hinter sich,"strunzdumm, Knäckebrot"
#Lindner ist für mich einer der größten #Lügner und #Heuchler der #FDP,"Lügner, Heuchler"
"Wie man an dem Wahlergebnis gesehen hat, sind die 'Deutschen Trottel' noch immer in der Mehrzahl!",Trottel
So ist es. Schwule dürfen ja immer bleiben. Pfui Teufel!,Pfui Teufel
"Nein, denn Muslime sind keine Rasse, sondern Anhänger einer bekloppten Religion.",bekloppten
"Es ist eindeutig und unmissverständlich.....unsere humanitäre Haltung ist falsch naiv und dumm, vollkommen im Arsch.","falsch, naiv, dumm, im Arsch"
Diese nichtsnützigen Analphabeten will Syrien nicht zurück...die sind froh das Deutschland sie nicht mehr hergibt...!,"nichtsnützigen, Analphabeten"
Werden wir und müssen wir NICHT! Es sind zu 99% nur Sozialtouristen (auf gut Deutsch: Schmarotzer) und zigtausende Kriminelle/Terroristen darunter! Das ist bewiesen!,"Sozialtouristen, Schmarotzer, Kriminelle, Terroristen"
Das Ende der Merkel Diktatur. Sollte National Feiertag werden. Rauten IM Erika hat endlich fertig!!!!!!,"Diktatur, Rauten IM Erika"
Am besten zum Bau eines Gefängnisses für Asylanten-Verbrecher!,"Gefängnisses, Asylanten-Verbrecher"
Damit die USA ihr dreckiges Fracking Gas mit Schweröl betriebenen Frachtern nach Dummland verkaufen ! Wer hätte nun die Vorteile ? Herr schick Hirn !!!,"dreckiges, Dummland"
"Ich finde Claudia #Roth auch ekelhaft, und ich gehe noch viel weiter. Man sollte sie rückstandslos #entsorgen.","ekelhaft, rückstandslos entsorgen"
Unterschlagung-Presse!Warum müsse wir diesen öffentlich rechtlichen Vollpfosten-Sender Zwangsabgaben zahlen.Freiheit in der Senderwahl!!!!!!!,"Unterschlagung-Presse, Vollpfosten-Sender, Zwangsabgaben"
Die meisten Rentner bekommen eine Erhöhung ihrer Renten nach der Lohnentwicklung von durchschnittlich 15€.und die Dummbacken im BT genehmigen sich 900€,Dummbacken
Rainer würde ich nicht mal.für 1 Millionen fucken,fucken
Die SPD ist heute so überflüssig wie die Haare an meinen Arsch. Die neue Volkspartei ist die AFD. #illner,"überflüssig, Haare an meinen Arsch"
"Alle diejenigen die nicht politisch korrekt sind, sind Verbrecher. So sehen das heutzutage Medien, Politiker, Toleranz Fanatiker sowie bahnhofsklatscher. Verblödetes Deutschland.","Verbrecher, Toleranz Fanatiker, bahnhofsklatscher, Verblödetes"
Die Liste der Dummen ist enorm....aber warum gehören die meisten der Grünen Partei an..??,Dummen
"Dobrindt, Du Heuchler. Es gibt keine illegale Software. Es gibt nur illegale. Vorschriften und hinterfotzige Politiker. Ab mit Euch.","Heuchler, illegal, hinterfotzige"
Was soll man schon von so einer Lügenbande erwarten? Alles politische Schwachköpfe!,"Lügenbande, Schwachköpfe"
Die Sendung ist einfach nur PEINLICH und sollte abgesetzt werden . Der Blassberg und das Blondchen haben sich überflüssig gemacht,"peinlich, abgesetzt, überflüssig"
"Ja, furchtbar. Das nächste Mal sollte man sie alt und hässlich nennen...","furchtbar, alt, hässlich"
Junker ist ein Vollspacken und den braucht niemand. Der kann jetzt weg! 👎👎👎👎,"Vollspacken, braucht niemand, weg"
Ich könnte kotzen wenn ich daran denke dass wir von #Deutschlandhassern regiert werden.,"kotzen, #Deutschlandhassern"
"Na dann, lieber rechter Hetzer als schwul-linker PSEUDO-Gutmensch ! Pacht euch mal an die Rübe und nicht nur an die Latte!!","Hetzer, schwul-linker, PSEUDO-Gutmensch, Rübe"
"An Tagen wie heute fragt mann sich echt wer verblödeter ist, die Regierung oder die Verfassungsrichter!? #maischberger #DrittesGeschlecht",verblödeter
Was für eine verlogene Scheisse !!! Die Bande aus der GroKo ist geil auf Macht und scheisst auf die wirklichen Nöte der eigenen Bürger !!!,"verlogene, Scheisse, Bande, geil, scheisst"
Für den zensierten Scheiss auch noch mehr bezahlen? So eine Unverschämtheit.Freie Senderwahl ich bezahl nur die Sender die ich sehen will.,"zensierten, Scheiss, Unverschämtheit"
"Schwachköpfe lassen keine Gelegenheit aus, um sich in die Öffentlichkeit zu drängen. 0 zw. den Ohren😜",Schwachköpfe
"Türken, die sich die österreichische Staatsbürgerschaft erschlichen haben. müssen aufgedeckt und verurteil werden. Davonjagen.","erschlichen, Davonjagen"
Ihr Würstel glaubt an den Schaden einer Erderwärmung. Genau. das Gegenteil ist der Fall.,Würstel
So ein Mist aber auch...da kämpft die Jugendkammer mit allen Mitteln ihn doch nach Jugendstrafrecht zu verurteilen und da kommt der dämliche Vater und ruiniert alles...😃😃😃,"Mist, dämliche, ruiniert"
"Solange Stasi-Merkel geduldet wird, wird in ganz Deutschland NIE etwas klappen!","Stasi-Merkel, NIE"
So reden nur Vasallen Merkels!!,Vasallen
Weitaus schlimmer. Heute ist es nicht mehr Dummheit. Ein ganzes Volk ist zu (m)wutlosen Zombies dressiert worden.,"schlimmer, Dummheit, wutlosen, Zombies, dressiert"
Freue mich wenn solche Abschaum von Grünen Idioten im Herbst verschwinde!,"Abschaum, Idioten"
"Besser ein Amateur der lernfähig ist, als das verlauste Pack der abgefuckten SPD - SCHMAROTZER, PÄDOPHILE und DENUNZIANTEN !!!","verlauste, Pack, abgefuckten, SCHMAROTZER, PÄDOPHILE, DENUNZIANTEN"
Grüne gehören einfach nicht in Regierungs Verantwortung. Schon gar nicht diese Ost Schabracke,Schabracke
Also auch alle AFDler und Neonazis und Mörder und Pädophile und....was für eine dumme Aussage dieser Frau,"Neonazis, Mörder, Pädophile, dumme"
"Flüchtlinge, die kein Asyl erhalten haben, gibt es nicht. Diese. Invasoren hätten an der Einreise gehindert werden müssen.",Invasoren
"Da sollten auch Asylanten eingesetzt werden, die für nichts abkassieren und sich den Tag über langweilen.","Asylanten, abkassieren, langweilen"
"Das geschieht wenn Aussagen gemacht werden die Merkel nicht passen!! ARD,ZDF und wie sie heißen sind Vasallen Merkels!!",Vasallen
Schade das die kotzgrüne Brühe nicht im Erdreich versickert.... und die ausreisewilligen werden gegen ihren Willen festgehalten...😂😂,"kotzgrüne, festgehalten"
"Ja, freu Dich doch über die Aufmerksamkeit. Und wenn Dir etwas zu weit geht, sei kein Mädchen, sondern teile dies mit.",kein Mädchen
Bla bla bla! Lügenpresse verkauft uns mal wider für Dumm! Alles gespieltes Theater!!,"Lügenpresse, Dumm, gespieltes"
Bist du ein asozialer Penner so werde Politiker ...gelingt Anwälten und Immobilienmakler auch..😃😃,"asozialer, Penner"
Die Zins-Schergen der EU rauben den Sparern Milliarden.. Und Schäuble freut sich mit diesen Verbrechern.,"Schergen, rauben, Verbrechern"
egal was #Göring-Eckardt und #Lindner sagen die stecken beide schon im Arsch von #Merkel #CDU #Grüne #FDP,"stecken, Arsch"
"Ach, das ist doch ein Sturm im Wasserglas. Spahn ist nun mal ne rechte Tucke 😁","rechte, Tucke"
Ach du Scheisse. Gibt wohl nichts zu saufen,"Scheisse, saufen"
"Özoguz attackiert CDU, AfD will Intergrationsministerium verhindern > RICHTIG, etwa noch so ein Faulenzerposten für diese Chaoten🤢","Faulenzerposten, Chaoten"
Was für fucking Menschenrechtsorganisationen....?. In unserem Land ist es unsicherer als in ihren...!,"fucking, unsicherer"
Wurde auch schon öfter von Frauen am Arsch und im Schritt gefasst. Habe es allerdings genossen.. #metoo,"Arsch, im Schritt, genossen"
"Die Hetze der Deutschen Lügenpresse, Medienpack und Politiker gegen Trump werden noch ein böses Ende haben für die Hetzer!!","Hetze, Lügenpresse, Medienpack, böses, Hetzer"
der iSLAM GEHÖRT NICHT ZU DEUTSCHLAND!!!! Und auch keine Schwarzfuss Afrikaner!!!,"gehört nicht, Schwarzfuss"
Durch meine Erfahrung mit der Scheinheilgsten Partei Deutschlands wurde Hass auf dieselbe entwickelt. SPD Politiker sind scheinheilige Hunde,"Scheinheilgsten, Hass, scheinheilige Hunde"
Von mir aus könnt ihr jämmerlich verrecken,"jämmerlich, verrecken"
G20 ist geplante Verarschung von #Merkel. Die Gewaltexzesse sichern ihren nächsten Wahlsieg. Außer Spesen nix gewesen,"Verarschung, Gewaltexzesse"
"Scheisse ist der Dumm, den nimmt doch keiner ernst!! Gehe in deine Hütte und bleib einfach still Steinmeier!!!!😡😡","Scheisse, Dumm, keiner ernst, Hütte, bleib einfach still"
"Komm schon mit NSU du Honk, halte Schleyer,Buback usw dagegen ! Die dusselige Reker hätte doch eine Armlänge Abstand zu dem einen halten kö.","Honk, dusselige"
Die vom Staat unterstützte Antifantenbrut ist unerträglich!,"Antifantenbrut, unerträglich"
"Es wird der Tag der Rache kommen.Hoffentlich hat Deutschland genug Bäume,um die Verräter des Volkes aufzuhängen!","Rache, Verräter, aufzuhängen"
Der nächste der mich meldet den zieh ich nackt #realtalk,nackt
"Naja, dein Name sagt schon alles! Dumm und dümmer!!!","Dumm, dümmer"
"Dieses Rattenpack gehört wirklich in die Löcher geprügelt, wie F.J. Strauß gesagt hat. Weg damit und gut !","Rattenpack, geprügelt"
"@USER_10 @USER_6 @USER_3 @USER_7 @USER_2 @USER_1 @USER_5 @USER_8 @USER_9 Gibt es bei euch überflüssigen, deutschfeindlichen Grünen, nicht ein Thema wo ihr NUR etwas Ahnung von habt?","überflüssigen, deutschfeindlichen"
Für d Schweinejournalisten Pack von ARD u ZDF ist es Hetze wenn man d tatsächlichen Zustände in diesem Merkeltollhaus anprangert. Jetzt AFD,"Schweinejournalisten, Pack, Hetze, Merkeltollhaus"
"Schauspieler u. Prediger Gauck ist krank??? Oder brennt ihm schon der Ar*** vor Angst, wie 89 in Rostock. Tauchte dort auch lange ab 😂😂😂","krank, brennt, Ar***, Angst, ab"
Dieses heuchlerische Weib ! Angela Merkel ist für mich die personifizierte Straftat ! Aber Islamkritiker gehen in den Knast !,"heuchlerische, Weib, personifizierte Straftat, Knast"
Und eine Horde von devoten Lemmingen folgt ihr.,"Horde, devoten, Lemmingen"
"Erschreckend, daß es #Frauen sind, die 30 Jahre #Emanzipation zugunsten islamistischer #Vergewaltiger in die Tonne treten! #rapefugees #AfD","erschreckend, Vergewaltiger, Tonne treten, rapefugees"
Natürlich - die OSTKÜSTENHURE droht.,"OSTKÜSTENHURE, droht"
"#maischberger Fratscher:Geld für Migranten als Investition.Bis dahin weiterhin #rapefugees , #Islamisierung und #IS Terroristen. #abmerkeln","#rapefugees, #Islamisierung, #IS Terroristen, #abmerkeln"
Scheinheilige Verräter. In der Kirche hat das Tradition.,"Scheinheilige, Verräter"
"Man sollte grundsätzlich nur Schweinefleisch an das Migrantenpack ausgeben. Sollten diese das zurückweisen, könnten sie ja in den zahlreichen Kanalisationen Ratten fangen und verzehren.","Migrantenpack, Ratten"
dumm ist wer nicht erkennt daß es in jeder Parteil dumme. Belegen sie ihre vorlegte Hetze doch mal mit O-Passagen aus dem afd-Parteiprogramm!!,"dumm, Hetze"
Behalten Sie ihren heiligen Blödsinn für Sich! Die Kirche hat sich trotz ihrer Macht noch nicht tatkräftig eingesetzt!,Blödsinn
Von wegen Cannabis....das sind Behauptungen der Pflichtverteidiger genauso wie dir Revisionen.. Die scheiss Anwälte erfinden neue Einnahmen.,scheiss
"bei so vielen verschwulten Entscheidungen, fragt man sich doch wer hat den Verfassungsrichtern ins Hirn geschissen? #voßkuhleScheisskule","verschwulten, geschissen"
"Tausende dieser Islam-Monster sind als Sozial-Touristen getarnt, noch in Deutschland unterwegs!","Islam-Monster, Sozial-Touristen"
Dabei hatte der Seehofer mal gute Ansätze...die Watschn von Merkel spürt er heute noch. Das ablichten mit grünem Dreck ist seine Strafe!,"Watschn, Dreck, Strafe"
"Abgefuckte Hühnerscheisse. Was soll sich denn drehen, wenn man diese abgefuckte SPD wählt? Vielleicht der Schulz im Vollsuff....","Abgefuckte, Hühnerscheisse, abgefuckte, Vollsuff"
Was eine dämliche Diskussion . Sind wir jetzt völlig verblödet. Ich muss abschalten .Ich bekomme Kopfschmerzen.🤮,"dämliche, verblödet, Kopfschmerzen"
WO SOLL DAS ENDEN ??? WENN MAN SO VIEL HASS UND WUT ERZEUGT WIE DIESES FRETTCHEN VON DER SED-STASI-SEKTE CDU/CSU/LINKE/ROTE/GRÜNE ????,"HASS, WUT, FRETTCHEN, SEKTE"
Wenn man genügend bezahle pietätlose Antifa Idioten findet,"pietätlose, Idioten"
Die meisten Messerangriffen sind nun mal von dem Asylantenpack . Wer Das verharmlost ist für mich ein Fehgesteuerter Ignorant und ein Hirnprinz!,"Asylantenpack, Fehgesteuerter Ignorant, Hirnprinz"
"Schulz wurde als Kind nicht verwöhnt, sondern er war. ein sogenannter Schultrottel. 2 x sitzen geblieben und. ohne Schulabschluss.","Schultrottel, sitzen geblieben, ohne Schulabschluss"
Haha....von diesen gibt es tausende...ihr wolltet sie und jetzt habt ihr sie..!!. Dieses Gesindel werden wir niewieder los😡😡,"Gesindel, niewieder los"
Grüne onanieren jetzt täglich 😜 erst konnten sie ihre neue Macht kaum fassen u. jetzt nicht mehr erwarten das Schland völlig zu ruinieren 🤢,"onanieren, ruinieren"
"Was mich an Linken am meisten nervt, ist deren moralisierende Dämlichkeit.. Wissen tun sie nicht viel, aber die Moral haben sie gepachtet.","nervt, moralisierende Dämlichkeit, nicht viel wissen"
Der Islam hat sich in den Sechzigern nicht integriert warum geht ihr davon aus dass er sich jetzt integrieren möchte? So dumm kann doch kein Mensch sein.. #illner,"dumm, Mensch"
"Es ist nicht die Aufgabe von Massenmedien, solche Asylanten-Sauereien zu verschweigen!!",Asylanten-Sauereien
Nazi Medien und Merkel Vasallen hetzen weiter gegen den Präsidenten der Vereinigten Staaten!!,"Nazi, Vasallen, hetzen"
"Wer sagt schon 'Scheide', da fällt mal wieder Böhmermanns LinksGrüne versifftes Autoren-Team auf. #LaferLichterLuther","Scheide, versifftes"
Solange die sich selber die Köpfe einschlagen und Deutsche in Ruhe lassen. Scheißegal.,"einschlagen, Scheißegal"
"Lieber höre ich mir die sogenannten Braunen an, als das scheinheilige Gefasel der Dreckslinken Faschistenschweine","scheinheilige, Gefasel, Dreckslinken, Faschistenschweine"
Stegner du alter Nazi...du darfst doch nicht sprechen wenn der Schulz es dir nicht erlaubt...,"alter, Nazi"
"Biermann ist ein LUMP der mit der Freiheit schon immer Geld verdienen wollte, Biermann steht für das was er im Namen hat, obergärig und als Flasche schnell abgefüllt !","LUMP, obergärig, Flasche, schnell abgefüllt"
Aber 10 Prozent der Opfer sind Frauen! Frauen! Das ist das bessere Geschlecht mit den Möpsen und den Vaginas!. Frauen!!!!,"Möpsen, Vaginas"
Wo ist #Kubicki heute? Hat ihn Berlin schon zum Trinker und zum Hurenbock gemacht? #illner,"Trinker, Hurenbock"
"Und diese ukrainischen Nazis werden heute vom Westen unterstützt - Poroschenko ist ein hinterfotziger Hund, er lügt und betrügt!!!","Nazis, hinterfotziger, Hund, lügt, betrügt"
"Und anstelle sofort abzureisen, jammert dieser armselige Gauck auch noch mit den Griechen.","armselige, jammert"
"Tag der deutschen Einheit??? 😂😂😂 In d. DDR war vieles nicht in Ordnung, aber dieses Schland u. ihre Führung ist der allerletzte Dreck 🤢","allerletzte, Dreck"
Jeder glaubt es gibt 3 Geschlechter ist Behindert,Behindert
"Gegen Dummheit hilft, Bildung, mehr, effizienter!",Dummheit
Dummes Gelaber. Was Sie für Steuerbetrug halten gilt nur. in Deutschland und in Ihrem Hirn.,Dummes Gelaber
sofort abk.......n!. Oder Spanien gibt das von Marokko beanspruchte Land zurück und Ruhe ist!,sofort abk.......n
"Die Tafeln sind total überlaufen zum großen Teil von Asylanten, und deutsche Arme gucken in die Röhre!Die Asylanten brauchen all ihr Geld für Luxusartikel wie Klamotten,Smartphones und Rauschmittel.","überlaufen, Asylanten, Röhre, Luxusartikel, Klamotten, Rauschmittel"
Die Zuschauer klatschen wohl für jeden Mist was von den 4:kommt,Mist
"Die bayerische Labertrumpe ist wieder am Werk! Wenn Merkel sich räuspert, ist wieder Ruhe im Duckmäuser-Staat!","Labertrumpe, Duckmäuser-Staat"
"Harpyie Murksel drückt Verbundenheit für Manchester aus > Wie falsch muss man eigentlich sein, wenn man d. Terror Tür u. Tor öffnete 🤢🤢🤢","Harpyie, falsch, Terror"
Ein Antifant das sagt alles.,Antifant
Die Alte darf ja nicht fehlen. Hätte selber gern einen Posten. Nichtsnutz.,"Alte, Nichtsnutz"
"Merkel und Gauck, ein ideales Paar! Sklaven der Ostküste!",Sklaven
"Trump lässt die Hose runter > Flugverbotszone in Syrien. Nur, um sich mit RU anzulegen, dafür ist sein Schwanz zu kurz 😜","Hose runter, Schwanz zu kurz"
"Wieso lädt #Maischberger nicht das Opfer eines Asylanten vom Wochenende in Oberhausen ein? Ach richtig, geht nicht, ist ja tot!","Asylanten, tot"
"Gabriel hat sich gemeldet weil er auch mal was sagen wollte!! Diese Witzfigur nimmt doch keiner erst, weltweit nicht!!",Witzfigur
Yvonne #Willicks ist immer überzeugt wenn es ums Fressen geht #Servicezeit #WDR,Fressen
ich will die #Mauer zurück und dann die schmarotzenden #Ossis und die #Flüchtlinge rausschmeissen,"schmarotzenden, rausschmeissen"
"Der Dummbatz hat doch den Arsch offen. Ich würde die Asylanten in den Arsch treten, wenn die meine Tür betreten.","Dummbatz, Arsch, treten"
"Kompliment den Niederlanden. Die verzichten auf Flugzeuglandungen in der. Türkei, diese Nazis. Haha. Auch ich bin für Meidung der Türkei.",Nazis
"SPD - SCHANDMÄULER, PÄDOPHILE UND DUMMKÖPFE. oder eben. SCHEINHEILGSTE PARTEI DEUTSCHLANDS !!!. Aus welcher Partei stammt Steinmeier ???","SCHANDMÄULER, PÄDOPHILE, DUMMKÖPFE, SCHEINHEILGSTE"
So siehts in Wahrheit aus. Aller Abschaum kommt Nach D ohne Paß keine Akte.,Abschaum
"Solange solch Polit-Pfeifen, wie Murksel u. ihre Muschpoke bestimmen, was RECHTS ist, läuft mir das am Ars** vorbei - dieses verlogene Pack😜","Polit-Pfeifen, Murksel, Muschpoke, Ars**, verlogene Pack"
So schaun Sieger aus lalalalla so schaun Sieger aus lalalallaalla...... Mein Traum geht in Erfüllung...kotzgrüne Brühe versickert endlich im Erdreich...😂😂😂😂,"kotzgrüne, Brühe"
"Tja, ich denke EU wird an Bürgerkriegen zugrunde gehen, ist ja genau das was die Eliten planen und der gierige LINKE Scheiß machts möglich !","zugrunde gehen, gierige, LINKE Scheiß"
ich kann machen das die Luft riecht... Gehe damit auch nicht Hausieren.... Das ist die Dümmste Antwort ever ganz ehrlich,Dümmste
Ich habe noch von keinem einen größeren Schwachsinn gehört als von diesem Beck...er schlägt alle Grünen 😃. Alter zieh dir lieber eine rein!!,"Schwachsinn, schlägt, Alter, zieh dir lieber eine rein"
"Die Asylanten sollten für Unterkunft, Fressen usw. arbeiten und in die RK einzahlen.","Asylanten, Fressen"
Frau Barley war mit ihrem dummdreisten überheblichen Grinsen wirklich nicht zu ertragen.,"dummdreisten, überheblichen, nicht zu ertragen"
"Jänicke möchte keine Windräder im Wald aber ohne genügend Abstand vor den Häusern der Landbewohner und das nur, damit er seine scheiß E-Karre laden kann. 🙄",scheiß
Durch die #Eu sind manche europ. Länder so verkommem daß sie ihr Volk wegen Geschäften mit Asylanten verraten und verkaufen. #kapitalismus,"verkommem, verraten, verkaufen"
Und Scheißt auf die verdammten Asyl Schmarotzer,"Scheißt, verdammten, Schmarotzer"
"In diesem Kiez sollten besser 1000 Wahre Deutsche leben ,als dieses Pack von linken Anarchisten!","Pack, linken Anarchisten"
60 % sind geklaut von uns ich hasse dieses Bauern auch,"geklaut, hasse"
Religionen sind alle FakeNews. Aber nützlich um Massen dumm zu halten und auszubeuten. Größte Bremsen in der Entwicklung der Menschheit.,"FakeNews, dumm, auszubeuten, Bremsen"
ist mit Sicherheit keine besonders helle Leuchte auf Deutschlands Talk-Show-Torte aber seine stümperhafte Zusammenstellung der Gäste wurde dann noch durch seine dillettantische Moderation übertroffen. Au weia war das schlecht.,"stümperhafte, dillettantische, helle Leuchte, schlecht"
Ist es noch ein Verfassungsgericht oder ist es schon ein Verarschungsgericht? #DrittesGeschlecht,Verarschungsgericht
#Machtverlust Unfassbar mit welchen Methoden sich nun dieses rotschwarze #Dreckspack in #Österreich prügelt ...,"Dreckspack, prügelt"
"👍. ich frage mich echt, wie verdorben man sein muss, um diesen verlogenen Politikern zu folgen...","verdorben, verlogenen"
Könnten wir Schmarotzer und Kriminelle loswerden würde die #Asylanten-Schwemme auf beherrschbare Zahlen runtergehen.,"Schmarotzer, Kriminelle, #Asylanten-Schwemme"
ICH und viele andere auch. Ist so. Trotz Ihres billigen Kommentars.,billigen
"Was für Schlawacken hat unsere Regierung aufgenommen, aus Höhlen importiert und jetzt Sterneküche verpflegt genießen wollen!","Schlawacken, Höhlen"
Das geht der Frau Merkel garantiert am Arsch vorbei. Die heuchelt mit anderen Politikern nun wieder Erschütterung + fertig,"Arsch, heuchelt"
Die Türken haben schon mal vor Wien im 17. Jahrhundert. Ohrfeigen bezogen. Raus mit den Doppelstaatsbürgern. Ab dafür.,"Ohrfeigen, Raus, Ab dafür"
"Schulz, spar Dir Dein dummes Gelaber. Es geht nicht um Verteilung, sondern um. Rückführung, verdammt nochmal. Es sind Invasoren ohne Rechte.","dummes, Gelaber, verdammt, Invasoren, ohne Rechte"
#Familiennachzug.. Sollen diese Feiglinge doch wieder zurück zu ihren Familien gehen. Warum alle nach Deutschland holen?,Feiglinge
Trump saß auch nicht am Steuer und trotzdem hat die Lügenpresse und Medienpack ihn direkt dafür verantwortlich gemacht!!,"Lügenpresse, Medienpack"
Auf die Antje sollte man hören! Die ist wenigstens intelligent und vom Fach! ................... die anderen sind nur Dödel die sich nur ein paar Euronen nebenbei verdienen wollen/müssen!!!,Dödel
"Ihr afghanischen Jugendlichen! Haut doch nicht ab, Ihr Feiglinge, und. kümmert Euch um Eure Angelegenheiten in Eurer Heimat.",Feiglinge
Das ist erst der Anfang. Viele haben davor gewarnt. 9/11 jetzt ganz Europa. Einfach weil 50% der Deutschen Gehirn Prothesen träger sind.,Prothesen träger
"Der Ober-Schul-Versager Schulz forder einen Unsinn, an den sich die. Ost-Staaten und schon gar nicht die Invasoren halten werden.","Ober-Schul-Versager, Unsinn, Invasoren"
"lieber #Horst #Seehofer, gibt es #Asylanten, die besser im #Tierasyl aufgehoben wären ? #sz #faz #zeit #nzz","Asylanten, Tierasyl"
"Jetzt hört auf mit Euren Sanktionen. Sie bringen nichts und. schädigen, ja -schädigen- die eigene Wirtschaft, Ihr Nulltipper.","schädigen, Nulltipper"
"Mich interessiert's weil ich es gut finde, dass es inmitten islamischen Barbarei wenigstens eine Demokratie gibt, in der ich Schwänze lutschen kann ohne ins Gefängnis zu kommen.","islamischen Barbarei, Schwänze lutschen"
Die Linken stinken zum Himmel gegen Patrioten und Rechte schlecht hin.,"stinken, schlecht hin"
In Deutschland wird wieder hartes Klopapier eingeführt.. Damit auch der letzte Arsch Rot wird. #spd #linke,"hartes, Arsch"
#cdu kapiert es nicht! Alle in europa ausser cdu von #merkel wollen keine #asylanten. sichert die aussengrenze oder EU und merkel sind tot,"kapiert es nicht, keine, tot"
Die Regierung alimentiert Menschen aus aller Welt & fördert #Islamisierung unsrer Heimat...mit unsren Steuern! #Volksverräter abwählen! #AfD,"Islamisierung, Volksverräter"
wen interessiert denn die Meinung des Außenminister @USER_0 der in meinen Augen strunzdumm ist #SPD,strunzdumm
"Ich nehme mir die FREIHEIT anders zu denken als dieser korrumpierte, verlogene BERUFSPOLITIKER-MÜLL, der sich die Taschen vollschaufelt 😜","korrumpierte, verlogene, BERUFSPOLITIKER-MÜLL, vollschaufelt"
"Wer schützt uns vor den Aids verseuchten Negern,werden die überhaupt untersucht ?Aber erst mal auf uns losgelassen!","Aids verseuchten, Negern"
"Die Schulden der Griechen soll der deutsche Steuerzahler übernehmen,. denkt Martin Schulz. Jagt ihn davon, den schulischen Versager.",Versager
Die@USER_0....was sind das eigentlich für Schmierfratzen die für diese Texte und eigentliche Fake-News ...verantwortlich sind?,"Schmierfratzen, Fake-News"
Bei Familienfragen kennt sich die Alte bestens aus.... Wenn wir schon familienfreundlich handeln wollen gibt es bessere Lösungen:. Keine Einreise für Alleinstehende..!,"Alte, Keine Einreise für Alleinstehende"
