Sentence,Negative Connotations
吃相很难看，又是舔狗又是到处伸手要分享，又是白眼狼，又是吃里扒外的，跪舔绿茶,"吃相很难看, 舔狗, 白眼狼, 吃里扒外, 跪舔绿茶"
这个仙女其实就是女权定义里的女强人,女权
大家可以多混混黑界和喷系，学学滚刀词汇，练练打字速度。也最好多了解学习一下语言学，逻辑学，辩论学，这些可以帮助大家出征仇男雌教魔怔教徒更添一笔整体战斗力和攻击值！,"混混黑界,喷系,滚刀词汇,出征仇男,雌教魔怔教徒,战斗力,攻击值"
嗯，地域黑都是蠢或者坏！！,"蠢, 坏"
是，虽然消息被和谐了，但那三个默应该会被判刑法十到二十年左右,被判刑法
哪来的通讯录怪物,怪物
更何况你鬼母阿娜本身就是个二年级辍学的屑,鬼母 屑
人形畜狌只有本能，除了寄声就是寝犯。,"人形畜狌, 寝犯"
暖男更受欢迎，男性需要改变择偶观?原来的舔狗龟男接盘侠不够用了，赶紧培养一批新的好让我们吸血?,舔狗 龟男 接盘侠 吸血
各平台里孝子一堆，不想说啥了。,孝子
打压男人让男人沦为舔狗更好为她们服务,"打压, 沦为舔狗"
幕刃嘛，是这样的，富联嘛，是这样的,None
高中都这么多拳师了,拳师
对的它们国际鬼子虫类及其它们后代虫混在全球就是老鼠耗子过街人人喊打,鬼子 虫 老鼠 耗子 过街 人人喊打
下意识的种族歧视呗.就好象一个正常女性绝对不可能接受一个艹羊佬.,种族歧视 艹羊佬
男同喜欢封面上的那种?,男同
别找太便宜的就行，听说便宜鸡跟你做完就开始叨叨叨她那些前男友的破事了。跟个怨妇似得，烦死了。现在22年，超过600都比较正常,"便宜鸡, 叨叨叨, 前男友的破事, 怨妇似得, 烦死了"
男的看男同恶心 女的看女同恶心,恶心
喂喂喂？基佬还能讲话吗,基佬
知乎上最多的就是伞兵问题,伞兵
如何薄纱有性别焦虑问题的通讯录？,性别焦虑问题
??对，不仅媚外，而且为了不让女的占便宜，敢于自贡。这是多么伟大的国际注意神经,"媚外, 不让女的占便宜, 敢于自贡"
国铝只会pua国男，怎么可能骂洋大人呢,pua
就是啊，还有带着房子车子，绿了老公，扔了孩子的“高尚”倒贴，不知道是本质蠢坏还是灌多了“迷魂汤”。最恶心的还要“道德绑架”老实奋斗的苦逼中国男人。,"绿了老公, 扔了孩子, 蠢坏, 迷魂汤, 最恶心, 道德绑架, 苦逼"
中国对男性太宽容了，就算男明星长得是个屎也没人说。女明星稍微胖点就有丑男批评,"屎, 丑男, 批评"
默就是默，非我中华民族必为异类，畏威不畏德。,非我中华民族必为异类，畏威不畏德
你这个喃蛮编的故事挺好的,喃蛮
有的女的真的是嘴贱，随时随地张口就对男性下定义，女性凝视和偏见，普信女真下头。,嘴贱; 下定义; 凝视和偏见; 普信女; 下头
纯黑都能在中国找到女人，混黑还会找不到？黑皮只会越来越多！！,"纯黑, 混黑, 黑皮"
这张动态图简直把虫类及其它们后代的智商表现淋漓尽致,虫类 智商
无母爱直佬只会骂人吗，除了骂人你还会什么，会被骂，对吧,"无母爱直佬, 骂人"
因为丈夫（未婚夫），公婆是真正受压迫者。那些中老年断子老苟内心巴不得这种状况愈演愈烈，它们好作威作福，充分体会欺负人的乐趣，所以它们是网络女拳的主力军,"受压迫者, 断子老苟, 作威作福, 欺负人的乐趣, 网络女拳的主力军"
太棒了呀，不用被道德和素质绑架了，既然同也恶心正常人，那我恶心同就不用避讳了，舒服，大胆讨厌一些人太爽了,"恶心, 绑架, 讨厌"
普信女真下头,"普信女, 真下头"
好家伙，整活老哥把女拳的活性转然后买抖+推给女拳粉丝炸鱼,"女拳, 炸鱼"
伪军比鬼子多。,"伪军, 鬼子"
反对一切圣母行为,圣母行为
有小腐沟帮男同宣传得好呗,小腐沟
单亲妈妈熟悉的剧情，有些蠢人活该被淘汰。,"蠢人, 活该, 被淘汰"
我们的妇女同志对外民族的包容程度已经达到人类进化史的巅峰，想必用不多久，全世界人民真的可以团结在一起呢,
